bodyparts,0
wristCenter,1.438768668895347
thumbStart,1.114664584975188
thumbCenter,1.0082666988809967
thumbEnd,0.9187906789307041
indexStart,1.1585198088170185
indexCenter,1.0436086153062945
indexEnd,1.0148573963185559
middleStart,1.2842612542175356
middleCenter,1.0225987493038704
middleEnd,1.014827115426332
ringStart,1.2930061387871568
ringCenter,1.1541608268638475
ringEnd,1.0634286849730548
littleStart,1.3622925895470783
littleCenter,1.459960372599305
littleEnd,1.2317983085107815
distnorm,335.8929486411452
