iteration: 13500, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 13750, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 14000, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 14250, loss: 0.0015, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 14500, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 14750, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 15000, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 15250, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 15500, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 15750, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 16000, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 16250, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 16500, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 16750, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 17000, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 17250, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 17500, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 17750, loss: 0.0014, scmap loss: 0.0011, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 18000, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 18250, loss: 0.0013, scmap loss: 0.0011, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 18500, loss: 0.0013, scmap loss: 0.0011, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 18750, loss: 0.0014, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 19000, loss: 0.0013, scmap loss: 0.0011, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 19250, loss: 0.0013, scmap loss: 0.0011, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 19500, loss: 0.0013, scmap loss: 0.0011, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 19750, loss: 0.0013, scmap loss: 0.0011, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
iteration: 20000, loss: 0.0013, scmap loss: 0.0011, locref loss: 0.0000, limb loss: 0.0002, lr: 1e-05
